FID,id,global_id,name,ward_code,timestamp,geom,lga_name,state_code,state_name
sv_factory_sites.fid-4f319755_16f104f4870_-6f58,4240,9a93e80e-46a2-4993-94fd-d2ac9ddb0e96,Eweolaru Nigeria Enterprise Block Industry,OGSIFO10,10:17:21,POINT (3.285553333333333 6.7716183333333335),Ifo,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f57,4241,51d5bde5-b0e4-4018-be3e-5885450e6027,Ifeoluwa Block Industry,OGSIFO10,10:17:21,POINT (3.2867933333333337 6.768011666666666),Ifo,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f56,4242,d9b3f56c-eca4-47da-925d-a4ec3880a709,Alerunore Block Industry,OGSIFO10,10:17:21,POINT (3.2861116666666668 6.770831666666667),Ifo,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f55,4243,f9d560a4-4ed0-4112-9475-5800e2e80489,Hallogen,OGSADO16,10:17:21,POINT (3.247765 6.715695),Ado Odo/Ota,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f54,4244,d4cab774-8531-4653-851d-f385f7b59b85,Abvee Industries Ltd,OGSADO16,10:17:21,POINT (3.2478413 6.7159381),Ado Odo/Ota,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f53,4245,acbeef43-6248-42e2-86d1-1f03d19c6c81,Ogidi Omo Block Industry,OGSIFO04,10:17:21,POINT (3.140906666666667 6.817998333333333),Ifo,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f52,4246,fbb6fc80-83c8-4f94-a8f6-395c822fa0e1,Ola Block Industry,OGSIFO04,10:17:21,POINT (3.140411666666666 6.826429999999999),Ifo,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f51,4247,3171da7f-656d-4fc1-86f1-263dd0deff6d,4 Litre Block Industry,OGSIFO04,10:17:21,POINT (3.139721666666667 6.811303333333332),Ifo,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f50,4248,3e304e56-d152-4147-a19b-22c61f9d25cd,Katami Block Industry,OGSIFO04,10:17:21,POINT (3.1378766666666666 6.812133333333333),Ifo,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f4f,4249,5861c951-1799-46ab-b024-ac7d962023d4,Showlogo Block Industry,OGSIFO04,10:17:21,POINT (3.135611666666667 6.812479999999999),Ifo,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f4e,4250,5e713b69-485c-4fbf-b38a-56b0700ea26d,Ijebu Block Industry,OGSIFO04,10:17:21,POINT (3.135729769615431 6.812162586220582),Ifo,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f4d,4251,9bc67276-32e0-4c11-926e-c3cb0f55e377,Like Anobi Block Industry,OGSIFO04,10:17:21,POINT (3.1192124395761405 6.810910981069176),Ifo,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f4c,4252,73f94731-39f7-4cea-997e-65061899ba56,Woleayo Block Industry,OGSIFO10,10:17:21,POINT (3.2892816666666667 6.773181666666666),Ifo,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f4b,4253,989ed255-5374-4418-a436-3262593baabd,Abata Block Industry,OGSIFO10,10:17:21,POINT (3.2885883333333332 6.7762133333333345),Ifo,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f4a,4254,9858156e-1a0b-4d99-948b-b9813415760c,Olawale Vibrated Block Industry,OGSADO05,10:17:21,POINT (3.052103333333333 6.6796500000000005),Ado Odo/Ota,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f49,4255,4cef9a49-715f-4841-8dab-9c213b4223ae,Block Industry,OGSADO05,10:17:21,POINT (3.0516100000000006 6.682133333333333),Ado Odo/Ota,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f48,4256,d5dd97f7-3cb4-4c58-b38d-1f20d7acb2d2,Orobo Block Industry,OGSSAU12,10:17:21,POINT (3.6048399999999994 6.72428),Shagamu,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f47,4257,abf6dfdc-f976-4f06-b3dc-b2ae47a46bdc,Iki Block Industry,OGSSAU12,10:17:21,POINT (3.6080316666666667 6.722731666666665),Shagamu,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f46,4258,40c20c53-0801-4766-a263-99ebc3488269,Adela Block Industry,OGSSAU12,10:17:21,POINT (3.6106599999999993 6.720356666666667),Shagamu,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f45,4259,9197958b-91ec-42cf-9f0a-73d8d50dcc48,They Called It Koso Factories,OGSRMN03,10:17:21,POINT (3.659486666666667 7.001155),Remo North,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f44,4260,8a8b264c-0d8c-431f-a677-2f80794a3355,Citimerit Construction Ltd,OGSSAU12,10:17:21,POINT (3.5825899999999997 6.717603333333333),Shagamu,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f43,4261,7e69c88b-9354-4ad6-8c19-a76631c07d16,Temitope Block Industry,OGSSAU12,10:17:21,POINT (3.582791666666666 6.733261666666667),Shagamu,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f42,4262,627f79c0-43fb-432b-8fc5-892faf672aff,Fadai Lisa Block Industry,OGSSAU11,10:17:21,POINT (3.6471450000000005 6.701896666666666),Shagamu,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f41,4263,2d44d38c-7e93-488d-813c-cfb8a4d06b44,Ameen Adebogun Block Industry,OGSSAU11,10:17:21,POINT (3.664321666666667 6.6915249999999995),Shagamu,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f40,4264,343915b4-d111-48cd-8d26-33a1bbae221d,Olusola Block Industry,OGSSAU11,10:17:21,POINT (3.6668883333333335 6.689805),Shagamu,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f3f,4265,b691b872-79d1-406e-b356-fb916f75afdf,Aranse Oluwa Block Industry,OGSSAU11,10:17:21,POINT (3.668411666666666 6.6943),Shagamu,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f3e,4266,6883d6f6-5bf1-4119-b660-89dfa2fa445c,Twins Block Industry,OGSADO04,10:17:21,POINT (3.0269616666666668 6.63926),Ado Odo/Ota,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f3d,4267,8107d003-784a-4db9-836e-db37cd607dda,Owonikoko Farm Industry,OGSADO04,10:17:21,POINT (3.0275366666666668 6.638718333333332),Ado Odo/Ota,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f3c,4268,c7712e87-d623-46a6-89a0-8c92daf14e4d,Ballo Block Industry,OGSADO05,10:17:21,POINT (3.0819366666666665 6.727076666666666),Ado Odo/Ota,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f3b,4269,f389a052-738a-4e6c-ad12-acf0aff329f4,Idowu Adedigba Block Industry,OGSADO07,10:17:21,POINT (3.0042333333333335 6.551728333333333),Ado Odo/Ota,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f3a,4270,8d5e5c5c-1567-4ac4-a63f-ddbb39d1396e,Adewolu Cassava Flower Mills,OGSIFO03,10:17:21,POINT (3.1450666666666667 6.754321666666668),Ifo,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f39,4271,464c81d3-d9fc-48b7-bc6c-9cee77ebebe3,Alfa Saka Block,OGSIFO03,10:17:21,POINT (3.1462433333333335 6.7585783333333325),Ifo,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f38,4272,6066f6bc-9038-4fe5-af41-957f14bdd7da,Aro Bale Block,OGSIFO03,10:17:21,POINT (3.152128333333333 6.760206666666666),Ifo,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f37,4273,032a03b9-edd1-401a-b082-6be6685f294f,Orogan Cassava Flower Mill,OGSIFO03,10:17:21,POINT (3.1527933333333333 6.760000000000001),Ifo,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f36,4274,144cac77-a141-48d8-870d-ca9ab862dc93,Oladunjoye Block Industry,OGSADO11,10:17:21,POINT (3.1436633333333335 6.729643333333333),Ado Odo/Ota,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f35,4275,f0af573b-b33c-4b37-b340-104581be8674,T Ade Block Industry,OGSADO11,10:17:21,POINT (3.1461600000000005 6.728651666666667),Ado Odo/Ota,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f34,4276,298a619d-bdfe-48ad-abfe-5071ce6a7fb4,Ona Ara Block Industry,OGSADO05,10:17:21,POINT (3.048778333333333 6.672985),Ado Odo/Ota,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f33,4277,35fac473-3348-47a1-bc02-60eaed0786e8,Labule Block Industry,OGSADO05,10:17:21,POINT (3.050496666666667 6.67454),Ado Odo/Ota,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f32,4278,c8cc91ff-c765-4a4f-881b-05a4961e7760,Daleko Block Industry,OGSADO05,10:17:21,POINT (3.0748850000000005 6.708725),Ado Odo/Ota,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f31,4279,8db105bc-0dd6-41a0-9b14-a137724c1fc7,Araromi Orita Block Industry,OGSADO05,10:17:21,POINT (3.0778183333333335 6.7089316666666665),Ado Odo/Ota,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f30,4280,ddc77b19-2458-4bbb-be6d-911a1ae6e5b2,Olorun Gbebe Block Industry,OGSADO05,10:17:21,POINT (3.078206666666667 6.7091183333333335),Ado Odo/Ota,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f2f,4281,14b49696-eaaa-431c-b1ee-44ebbef36aa3,Bb Piston Company,OGSADO03,10:17:21,POINT (3.0834016666666666 6.502785),Ado Odo/Ota,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f2e,4282,9d9860e3-7f3f-4f59-90b4-8767df392e4d,Allau Lateef Block Industry,OGSADO07,10:17:21,POINT (2.9713899999999995 6.578164999999999),Ado Odo/Ota,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f2d,4283,7dba2762-80cf-4648-b4a0-8080a3f9e8cc,Akile Block Industry,OGSADO12,10:17:21,POINT (3.0521216666666664 6.563041666666667),Ado Odo/Ota,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f2c,4284,3b41021b-1700-4e09-bf2a-f8ff0a61dff4,Oke Anabi Block Industry,OGSODA03,10:17:21,POINT (3.6816500000000003 7.3833434),Odeda,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f2b,4285,d7aa72f0-516d-4763-ba91-31688d18cd7b,Agboku Block Industry,OGSADO07,10:17:21,POINT (2.9283783333333333 6.55151),Ado Odo/Ota,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6f2a,4286,817c328f-ae2e-4d30-a8a9-7bd3ad0d9a47,Temitope Block Industry Odugbe,OGSADO12,10:17:21,POINT (3.089769991268802 6.616962831289439),Ado Odo/Ota,OG,Ogun
